name,address,municipality,province,country,lat,lng,categories,status,website,source_url,source_record_id,confidence_score,notes
AetherHaus,"1768 Davie Street, Vancouver, BC V6G 1W5",Vancouver,BC,CA,49.2869063,-123.1415786,recovery_contrast_therapy|spa_thermal,open,https://www.aetherhaus.ca/,https://www.aetherhaus.ca/,aetherhaus,0.92,"Public operator website and OSM geocode."
Kolm Kontrast,"101-525 West 8th Avenue, Vancouver, BC",Vancouver,BC,CA,49.2642,-123.1160,recovery_contrast_therapy|community_social_wellness,open,https://www.kolmkontrast.com/,https://www.kolmkontrast.com/,kolm_kontrast,0.82,"Public operator website; geocode manually reviewed."
Tality Wellness Mount Pleasant,"107 East 3rd Avenue, Vancouver, BC",Vancouver,BC,CA,49.2676,-123.1018,recovery_contrast_therapy|community_social_wellness,open,https://www.talitywellness.ca/,https://www.talitywellness.ca/,tality_mount_pleasant,0.82,"Public operator website; geocode manually reviewed."
Tality Wellness Kitsilano,"3719 West Broadway, Vancouver, BC",Vancouver,BC,CA,49.2641,-123.1858,recovery_contrast_therapy|community_social_wellness,open,https://www.talitywellness.ca/,https://www.talitywellness.ca/,tality_kitsilano,0.80,"Public operator website; geocode manually reviewed."
Tality Wellness Shipyards,"125 Victory Ship Way, North Vancouver, BC",North Vancouver,BC,CA,49.3097,-123.0803,recovery_contrast_therapy|community_social_wellness,open,https://www.talitywellness.ca/,https://www.talitywellness.ca/,tality_shipyards,0.80,"Public operator website; geocode manually reviewed."
Regen Recovery,"1433 Cedar Cottage Mews, Vancouver, BC",Vancouver,BC,CA,49.2565,-123.0740,recovery_contrast_therapy|fitness_movement,open,https://www.regenrecovery.ca/,https://www.regenrecovery.ca/,regen_recovery,0.78,"Public operator website; geocode manually reviewed."
Orijin Restore,"3665 Kingsway, Vancouver, BC",Vancouver,BC,CA,49.2327,-123.0247,recovery_contrast_therapy|fitness_movement,open,https://orijinrestore.com/,https://orijinrestore.com/,orijin_restore,0.78,"Public operator website; geocode manually reviewed."
Sea2Sky Sauna,"Metro Vancouver, BC",Vancouver,BC,CA,49.2827,-123.1207,recovery_contrast_therapy|community_social_wellness,open,https://www.sea2skysauna.ca/,https://www.sea2skysauna.ca/,sea2sky_sauna,0.66,"Mobile/public operator website; centroid geocode only."
Bugu Wellness,"Port Coquitlam, BC",Port Coquitlam,BC,CA,49.2620,-122.7811,recovery_contrast_therapy|spa_thermal,open,https://www.buguwellness.com/,https://www.buguwellness.com/,bugu_wellness,0.68,"Public operator website; municipality-level geocode."
Ritual Urban Retreat,"Vancouver, BC",Vancouver,BC,CA,49.2827,-123.1207,recovery_contrast_therapy|spa_thermal,open,https://www.ritualurbanretreat.com/,https://www.ritualurbanretreat.com/,ritual_urban_retreat,0.64,"Public operator website; city-level geocode."
Art of Sauna,"100-7818 6th Street, Burnaby, BC",Burnaby,BC,CA,49.2202925,-122.9289587,recovery_contrast_therapy|spa_thermal,open,https://artofsauna.ca/,https://artofsauna.ca/,art_of_sauna,0.92,"Public operator website and OSM geocode."
Fairmont Pacific Rim Spa,"1038 Canada Place, Vancouver, BC",Vancouver,BC,CA,49.2880,-123.1164,spa_thermal|recovery_contrast_therapy,open,https://www.fairmont-pacific-rim.com/spa/,https://www.fairmont-pacific-rim.com/spa/,fairmont_pacific_rim_spa,0.72,"Public hotel spa page; geocode manually reviewed."
